name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
BOSQUEJO,#7,BUTTE COUNTY,BUTTE COUNTY,"5 sq.
   leagues",1844,Micheltorena,"T 22-24N, R 1-2W, MDM","Tehama; Butte Cos; Peter
   Lassen",,1844; 1862,,Micheltorena,"Peter
   Lassen","T 22-24N, R 1-2W, MDM",22206.27,1862,"Peter
   Lassen",,
ESQUON,#14,BUTTE COUNTY,Butte,5 sq. leagues,,Micheltorena,"T 20-
   2IN, R 1-2E, MDM",Samuel Neal,Los Picos Creek,1844; 1863,Sierra Nevada; Butte Co. Grant; Neal�s Rancho,Micheltorena,,"T 20-
   2IN, R 1-2E, MDM",,,,,
FERNANDEZ,#15,BUTTE COUNTY,BUTTE COUNTY,4 sq. leagues,,Pico,T 18-19N,"J. B.; D. Z.; W. R. Basham; John A.
   ; M. Z. Fernandez",,1846; 1867,Sierra Nevada; Butte Co. Grant,Pico,,T 18-19N,17805.84,1867,D,,
HONCUT,#19,BUTTE COUNTY,BUTTE COUNTY,7 sq. leagues,1844,Micheltorena,T 16-17N,"Foster; Michael C. Nye; Yuba; Charles
   Covilland; Theodore Cordua; Butte",,1844; 1863,,Micheltorena,"Charles
   Covilland",T 16-17N,31079.96,1863,"Charles
   Covilland",,
LLANO SECO,#12,BUTTE COUNTY,BUTTE COUNTY,,,Pico,,J. Benham; Chas; Sebastian Keyser; John Haskins; Parrott Grant; George G. Pope; Micheltorena; Thomas Chapman,Sacramento River,1860; 19-2IN; 1844; 1845,Butte Co.,Pico,,,,,,Parrott Grant,
RANCHO DE FARWELL,#10,BUTTE COUNTY,Butte,"5 sq.
   leagues",1844,Micheltorena,"T 20-22N,
   R IE-1 W, MDM","Edward A.
   ; Reb; John Williams; William; Gordon; Arroyo Chico; Thomas; Mary Potter; James; Ruth Chase",Sacramento River; Chico Creek; W.,1844; 1863,Butte Co. Grant; N.,Micheltorena,,"T 20-22N,
   R IE-1 W, MDM",,,,"Arroyo Chico [Farwell],",
RANCHERIA DEL RIO ESTANISLAO,#102,CALAVERAS COUNTY,CALAVERAS COUNTY,11 sq. leagues,1843,,"T IS, R 11-
   12E, MDM, on north side of Stanislaus River","Francisco Rico; Castro; Micheltorena; Jose Antonio
   ; Jose Antonio Castro",Francisco Rico; Stanislaus River; Calaveras,1843; 1863,Stanislaus,,,"T IS, R 11-
   12E, MDM, on north side of Stanislaus River",,,,,
COLUSA,#17,COLUSA COUNTY,Colusa,2 sq. leagues,,Pico,"T 16-17N, R 1-
   2W, MDM",John Bidwell; C. D. Semple,,1859; 16-17N; 1845,Colusa Co. Grant,Pico,,"T 16-17N, R 1-
   2W, MDM",,,,,
JIMENO,#22,COLUSA COUNTY,COLUSA COUNTY,11 sq. leagues,1844; 1844,Micheltorena,T 11-17N,John S. Missroom; Sophia Larkin; Thomas O. Larkin; Sophia; Glenn; Manuel Jimeno; Colusa; Caroline Ann; Francis,Micheltorena,1857; 1844; 1862,Colusa,Micheltorena,,T 11-17N,,,,,
ACALANES,#124,CONTRA COSTA COUNTY,Contra Costa,1 sq. league,1834,Figueroa,T IN,Candelario Valencia,,1834; 1858,Elam Brown; Territorial Diputacion; Contra Costa Co.,Figueroa,,T IN,,,,,
ARROYO DE LAS NEUCES Y BOLBONES,#115,CONTRA COSTA COUNTY,Contra Costa,2 sq. leagues,1834,,"T 18, R 1-2W, MDM","Juana Sanchez de Pacheco; Figueroa; J. S. de
   ",,1834; 1866; T 18,Pacheco; Contra Costa Co.,,,"T 18, R 1-2W, MDM",,,,,
LA BOCHA DE LA CANADA DE PINOLE,#125,CONTRA COSTA COUNTY,"Contra
   Costa",3 sq. leagues,1842,Alvarado,"T IN, R 3W, MDM",Maria Manuela Valencia; Maria Manuela; Valencia,Alvarado,1842; 1878,Contra; Costa Co.,Alvarado,,"T IN, R 3W, MDM",,,,,
CANADA DEL HAMBRE Y LAS BOLAS,#114,CONTRA COSTA COUNTY,"Contra
   Costa",2 sq. leagues,1841,Alvarado,"T 2N, R 3W, MDM",Teodoro Soto,Alvarado,1866; 1841,Contra; Costa Co.,Alvarado,,"T 2N, R 3W, MDM",,,,,
