name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
POTRERO DE FELIPE LUGO,#446,LOS ANGELES COUNTY,Los Angeles,,1845; 1843,Pico; Micheltorena,T IS,Antonio; Teodoro Romero; Valenzuela; Juan Alvitre; Morillo; Romero,,1871; 1843; 1845,Los Angeles Co.; POTRERO DE LA MISION VIEJA DE SAN,Pico; Micheltorena,,T IS,,,,,
POTRERO GRANDE,#445,LOS ANGELES COUNTY,LOS ANGELES COUNTY,"1
   sq. league",1845,Pico,"T IS, R 11-12W, SBM",Manuel Antonio; Juan M. Sanchez,,1859; 1845,Los Angeles Co.,Pico,,"T IS, R 11-12W, SBM",,,,,
PROSPERO,#419,LOS ANGELES COUNTY,Los Angeles,,,Micheltorena,T IN,Prospero Valenzuela; Valenzuela,,1875; 1843,Sec; Los Angeles Co.,Micheltorena,Valenzuela,T IN,23.68,1875,"Rafaela
   Valenzuela et al",,
PROVIDENCIA,#424,LOS ANGELES COUNTY,Los Angeles,"1 sq.
   league",1843,Micheltorena,"T IN, R 14W, SBM","Vicente de
   la Ossa; Alexander Bell; D. W.
   ",,1843; 1872,Los Angeles Co.,Micheltorena,,"T IN, R 14W, SBM",4064.33,1872,D,,
LA PUENTE,#460,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,1845,Pico,"T 1-?S R
   9-11 W, SBM",John Rowland; Julian; William; Workman,Los Angeles; Orange Cos,9-11; 1845; 1867,Departmental Assembly; Rowland,Pico,,"T 1-?S R
   9-11 W, SBM",,,,,
RINCON DE LA BREA,#461,LOS ANGELES COUNTY,LOS ANGELES COUNTY,1 sq. league,1841,Alvarado,T 2S,Gil Ybarra,Los Angeles; Canada,1864; 1841,,Alvarado,,T 2S,,,,Canada de la Brea,
RINCON DE LOS BUEYES,#435,LOS ANGELES COUNTY,Los Angeles,,,Micheltorena,"T IS, R 14-15W, SBM",Higuera; Francisco; Bernardino Higuera; Bernardo Higuera; Francisco Lopez; Noriega,Santa Barbara,1872; 1843; 1821,Los Angeles Co.; Grant of 3/5,Micheltorena,,"T IS, R 14-15W, SBM",,,,,
SAN ANTONIO (Lugo),#442,LOS ANGELES COUNTY,Los Angeles,,,Arguello; Alvarado,"T 2-3S, R 12-13W,
   SBM",Maria Rita de Valdez; Maria Rita Valdez; Maria R. Valdez; A. M. Lugo; Maria Lugo; Vicente Sanchez,Antonio; Alvarado; Santa Maria,1827; 1871; 1831; 1866; 1823; 1840; 1838; 1810; 1814,"Lugo Rancho; Denker Rancho; Los
   Angeles Co. Grant; Morroco; RODEO DE LAS AGUAS; Los Angeles Co.; Villa Rancho",Arguello; Alvarado,,"T 2-3S, R 12-13W,
   SBM",,,,Lugo Rancho,
SAN FRANCISCO,#399,LOS ANGELES COUNTY,LOS ANGELES COUNTY,8 sq. leagues,1839,Alvarado,"T 4N, R 16-18W, SBM",Jacoba Feliz et al; Antonio del Valle; Camulos,Ventura; Los Angeles,1875; 1839,,Alvarado,,"T 4N, R 16-18W, SBM",,,,Camulos,
SAN FRANCISQUITO (Dalton),#447,LOS ANGELES COUNTY,Los Angeles,2 sq. leagues,1845; 1845; 1845; 1843; 1845; 1846; 1845; 1841; 1841; 1843; 1845; 1840,Pico; Pro; Alvarado; Micheltorena,"T 1S, R 11W, SBM","varas square; Henrique Dalton; Dorsey; Jose Ledesma; Ramon; Manuel Jimeno; San Gabriel; Juan Silvas; Manuel D. Olivera; J. P. de
   J. Courtney; Maria White; Daniel; Jose Maria
   ; 4,430.64 acres; Ramirez; Daniel Sexton; Jose; Ignacio
   Palomares; J. M. Ramirez; Simeon; Hilliard P. Dorsey; Valencia; Luis Arenas; Courtney; Michael",Francisco; SAN JOSE; Dalton; Vejar; Felipe; Ladesma; San Gabriel; Los Angeles,1871; 35; 1876; 1846; 1910; 1840; 1843; 1845; 36; 46; 1867; 1841,Ricardo Vejar; Aguilar; Pico; Micheltorena; Sexton; Sec; Los Angeles Co.,Pico; Pro; Alvarado; Micheltorena,,"T 1S, R 11W, SBM",49.29,1871,J,,(Aguilar); (Courtney); (White); (Ladesma); (Dorsey); (Domingo); (Sime; (Sext; (Silvas); (Sales)
SAN JOSE (Dalton et al.),#458,LOS ANGELES COUNTY,Los Angeles,4 sq. leagues,,Alvarado,"T IS, R 8-9W,
  SBM",Ignacio Palomares; Luis Arenas,"San Jose de Ambo; Vejar; San Jose de
  Abajo",1837; 1875; 1840,Ricardo Vejar; Los Angeles Co.,Alvarado,,"T IS, R 8-9W,
  SBM",,,,"San Jose de Ambo and San Jose de
  Abajo",
SAN JOSE DE BUENOS AYRES,#431,LOS ANGELES COUNTY,LOS ANGELES COUNTY,1 sq. league,1843,Micheltorcna; Echeandia,,Jose Polanco; B. D. Wilson; Maximo Alanis,,1843; 1826; 1828; 1866,Los Angeles Co.,Micheltorcna; Echeandia,,,,,,,
SAN JUAN CAJON DE SANTA ANA,#73,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,1837,Alvarado,T 3-4S,J. P. Ontiveros,Los Angeles,1837; 1877,,Alvarado,,T 3-4S,,,,,
SAN PASCUAL (Garfias),#415,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,,Alvarado; Figueroa; Micheltorena,"T IN, R 12W",Manuel Garfias; Eulalia Perez de Guillan; Jose Perez,,1835; 1840; 1843; 1863,El Rincon de San Pascual; Los Angeles Co.,Alvarado; Figueroa; Micheltorena,,"T IN, R 12W",,,,El Rincon de San Pascual,
SAN PASCUAL (Wilson),#422,LOS ANGELES COUNTY,Los Angeles,,1838,Alvarado,,Francisco Villa; B. D. Wilson,,1881; 1838,R12W; Los Angeles Co.,Alvarado,,,708.57,1881,B,,
SAN PEDRO (Dominguez),#440,LOS ANGELES COUNTY,Los Angeles,,,Fages; de,"T 3-4S, R
  13-14W, SBM","Manuel Dominguez; Grant
  ; al",,1822; 1859; 1784,Dominguez Rancho; Los Angeles Co.,Fages; de,,"T 3-4S, R
  13-14W, SBM",,,,Dominguez Rancho,
SAN RAFAEL,#423,LOS ANGELES COUNTY,Los Angeles,"8 sq.
   leagues",,Fages; Borica,,al,,1882; 1798; 1784,Jose Maria Verdugo; Los Angeles Co.; J. Verdugo,Fages; Borica,,,,,,,
SANTA ANITA,#454,LOS ANGELES COUNTY,LOS ANGELES COUNTY,"3 sq.
   leagues",,Pico; Alvarado; Micheltorena,T IN,,Alvarado,1845; 1843; 1866; 1841,Baldwin Rancho; Los Angeles Co.,Pico; Alvarado; Micheltorena,,T IN,13.319.06,1866,"Henry
   Dalton","�Lucky�
   Baldwin Rancho",
SANTA GERTRUDES (Colima),#465,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,,Figueroa,"T 2-3S,
   R 11W, SBM",Fages; Manuel Nieto; Don Manuel Nieto; A. M. Nieto; T. S. Colima,"Santa
   Gertrudes",1834; 1877; 1784; 1833,"Colima Tract of Rancho; Los Nietos Rancho; Dona Josepha
   Cota; Los Angeles Co.",Figueroa,,"T 2-3S,
   R 11W, SBM",,,,"Colima Tract of Rancho
   Santa Gertrudes",
SANTA GERTRUDES (McFarland and Downey),#466,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,,Fages; Figueroa,"T 2-3S, R 12W, SBM",Manuel Nieto; Don Manuel Nieto; A. M. Nieto; Manuel; Josepha Cota,"McFarland; Los Nietos
   ; Santa Gertrudes",1870; 1834; 1784; 1833,"Downey; Paso de
   Bartolo (McFarland; Los Angeles Co.; Dona",Fages; Figueroa,,"T 2-3S, R 12W, SBM",,,,,
SAN VICENTE Y SANTA MONICA,#432,LOS ANGELES COUNTY,Los Angeles,4 sq. leagues,1846,Echeandla; Alvarado; Pico,T IS,Francisco Sepulveda,Los Angeles; Ramona,1881; 1846; 1828; 1839,,Echeandla; Alvarado; Pico,,T IS,,,,,
SAUSAL REDONDO,#438,LOS ANGELES COUNTY,Los Angeles,"5
  sq. leagues",,Alvarado,"T 2-
  3S",A. I. Avila; Antonio Ignacio Avila; Noriega,Santa Barbara; Guaspito,1822; 1875; 1837,Los Angeles Co.; Sausal Redondo,Alvarado,,"T 2-
  3S",,,,"Sausal Redondo y
  Guaspito",
SIMI,#400,LOS ANGELES COUNTY,LOS ANGELES COUNTY,"14 sq.
  leagues",,Alvarado; Borica,"T 2-3N, R 17-19W,
  SBM","Patricio; Francisco Javier
  Pico; Francisco Javier Pico; de Sola; Manuel; Noriega; J. de la Guerra; Jose de la
  Guerra",San Jose de; Ventura; Los Angeles,1822; 1795; 1842; 1865,,Alvarado; Borica,,"T 2-3N, R 17-19W,
  SBM",,,,"San Jose de Gracia de Simi, and as
  Tapo Rancho",
TAJUATA,#441,LOS ANGELES COUNTY,Los Angeles,1 sq. league,1843,Micheltorena,"T 3S, R 13-14W, SBM",Anastacio Avila; Enrique Avila,Los Cuervas,1843; 1873,Los Angeles Co.,Micheltorena,Enrique Avila,"T 3S, R 13-14W, SBM",3559.86,1873,Enrique Avila,Los Cuervas,
TEMESCAL,#398,LOS ANGELES COUNTY,LOS ANGELES COUNTY,"3
  sq. leagues",1843,Micheltorena,"T 4-5N, R 17-18W, SBM","Ramon de la Cuesta; Jose Arellanes; Francisco
  Gonzales Camino; Francisco Lopez",Ventura; Los Angeles,1871; 1843,,Micheltorena,,"T 4-5N, R 17-18W, SBM",,,,,
TUJUNGA,#413,LOS ANGELES COUNTY,Los Angeles,,1840,Alvarado,"T 2N R 14W
  SBM",Pedro Lopez; Alexander Bell; D. W. Alexander,,1840; 1874,Los Angeles Co.,Alvarado,,"T 2N R 14W
  SBM",,,,,
LAS VIRGENES,#545,LOS ANGELES COUNTY,Los Angeles,,1837,Arrillaga; Alvarado,,Miguel Ortega; J. M. Dominguez,Las Virgenes; M. A. Machado,1837; 14. 1837; 1883,"Rancho ""Canada de Triunfo; Los Angeles Co.",Arrillaga; Alvarado,,,,,,,
LAS BAULENES (or Bolinas),#35,MARIN COUNTY,Marin,,1846,Pico,T IN,,Gregorio,1846; 1866,Marin Co. Grant; Gregorio Briones,Pico,,T IN,8911.34,1866,"Gregorio
   Briones",,
BLUCHER,#29,MARIN COUNTY,MARIN COUNTY,,1844,Micheltorena,"T 5-6N,
   R","Jean Vioget; Manuela T.
   Curtis; Stephen Smith",Sonoma,1844; 1858,,Micheltorena,,"T 5-6N,
   R",26759.42,1858,Manuela T,,
CANADA DE HERRERA,#40,MARIN COUNTY,Marin,,1839,Pro,T 2N,Manuel Jimeno; Domingo Sais,,1878; 1840; 1839,"Marin Co. Grant; Assembly; Departmental
   ",Pro,,T 2N,,,,La Providencia,
CORTE MADERA DEL PRESIDIO,#42,MARIN COUNTY,Marin,1 sq. league,1834,Figueroa,"T IN
   IS, R5-6W, MDM","7,845.12 acres; John Read; Picardo; Juan; Hilarita Sanchez de Read",,1885; 1834,Marin Co.; R5-6W,Figueroa,,"T IN
   IS, R5-6W, MDM",,,,,
CORTE MADERA DE NOVATO,#47,MARIN COUNTY,Marin,,1839,Pro,T 3-4N,"Juan Martin; Manuel
   Jimeno",,1840; 1862; 1839,Marin Co. Grant; Departmental Assembly,Pro,,T 3-4N,,,,,
LAGUNA DE SAN ANTONIO,#30,MARIN COUNTY,MARIN COUNTY,6 sq. leagues,1845,Pico,T 4-5N,Bartolome Bojorquez,Sonoma,1871; 1845,,Pico,,T 4-5N,,,,,
MISION SAN RAFAEL (Church property),#43,MARIN COUNTY,Marin,,,,"T 2N, R 6W, MDM",Vicente Francisco Sarria,Monterey,1859; 1817,Marin Co.; Bishop; J. S. Alemany,,,"T 2N, R 6W, MDM",6.48,1859,J,,
NICASIO,#32,MARIN COUNTY,Marin,16 sq. leagues,,Micheltorena,"T 2-5N, R6-10W","Daniel Frink; B. R. Buckelow; Juan Cooper; H. W. Halleck; James
   Black",,1844; 1861,Marin Co. Grant; Reynolds,Micheltorena,,"T 2-5N, R6-10W",,,,,
NOVATO,#46,MARIN COUNTY,Marin,2 sq. leagues,,Alvarado,"T 3-4N, R 6-7W, MDM",Fernando Feliz,Assignees,1866; 1839,Marin Co.; Bezar,Alvarado,,"T 3-4N, R 6-7W, MDM",,,,,
OLOMPALI,#48,MARIN COUNTY,Marin,2 sq. leagues,,Micheltorena,,,,1843; 1862,Marin Co.; Camilo Unitia,Micheltorena,,,,,,,
PUNTA DE LOS REYES (Randall),#33,MARIN COUNTY,Marin,,1839,Alvarado; Gutierrez,"T 2-3N, R 9-10W, MDM","James Richard Berry; Andrew Randall; Joseph Francis
   Snook",Gutierrez,1860; 1839; 1836,Marin Co. Grant,Alvarado; Gutierrez,,"T 2-3N, R 9-10W, MDM",,,,,
PUNTA DE LOS REYES (Sobrante),#34,MARIN COUNTY,MARIN COUNTY,,1843,Micheltorena; Gutierrez,T 1-5N,"Antonio
   M. Osio; James Richard Berry; Andrew Randall",Gutierrez,1860; 1843; 1836,Marin Co.,Micheltorena; Gutierrez,,T 1-5N,,,,,
PUNTA DE QUENTIN,#41,MARIN COUNTY,MARIN COUNTY,"2 sq.
   leagues",1840,Alvarado,T 1-2N,"J. B. R.
   ; R. Buckelow",,1840,Marin Co.; Benj; Point Quentin Rancho,Alvarado,,T 1-2N,,,,Point Quentin Rancho,
SAN GERONIMO (Revere),#39,MARIN COUNTY,MARIN COUNTY,"2 sq.
   leagues",1844,Micheltorena,T 2N,Jose W. Revere,Rafael,1860; 1844; 1846,Marin Co.; Departmental Assembly,Micheltorena,,T 2N,8.701,1860,Jose W,,
SAN JOSE (Pacheco),#45,MARIN COUNTY,MARIN COUNTY,5 sq. leagues,1840; 1844,Alvarado; Micheltorena,T 2-3N,"Timothy
   Murphy; Timothy Murphy; Ignacio Pacheco; Ignacio",SAN PEDRO,1840; 1844; 1861; 1866,Marin Co.; Pacheco; LAS,Alvarado; Micheltorena,Ignacio,T 2-3N,6659.25,1861,"Ignacio
   Pacheco",,
SAUSALITO,#36,MARIN COUNTY,Marin,3 sq. leagues,,Alvarado; Figueroa,"T IN-IS, R 6-7W, MDM",Antonio Richardson; Jose Antonio Galindo; Richardson,Guillermo,1835; 1879; 1838,Marin Co.,Alvarado; Figueroa,,"T IN-IS, R 6-7W, MDM",,,,,
SOULAJULE,#31,MARIN COUNTY,Marin,4 sq. leagues,1836,Micheltorena; Gutierrez,T 3-4N,"Ramon Mesa; Rafael Garcia; James Richard Berry; J. S. Brackett; Joseph Snook; Garcia; M. F. Gormley; P. J. Vasquez; Alvarado; Phelps; G. N. Cornwall; Luis
  D. Watkins",Bolinas,1883; 1866; 1838; 1839; 1844; 1836; 1879,Marin Co.,Micheltorena; Gutierrez,,T 3-4N,,,,,
LAS MARIPOSAS,#104,MARIPOSA COUNTY,Mariposa,"10 sq.
   leagues",1844,Micheltorena,"T 4-5S, R 17-18E, MDM","J. B.
   ",Alvarado; Fremont,1844; 1856,Mariposa Co.,Micheltorena,,"T 4-5S, R 17-18E, MDM",44386.83,1856,J,Fremont Grant,
SANEL,#24,MENDOCINO COUNTY,MENDOCINO COUNTY,4 sq. leagues,,Micheltorena,"T 13-14N, R 11-12W",Fernando Feliz; Felix,,1860; 1844,Mendocino Co.,Micheltorena,,"T 13-14N, R 11-12W",,,,,
YOKAYA,#23,MENDOCINO COUNTY,MENDOCINO COUNTY,8 sq. leagues,1845,Pico,,Cayetano Juarez; Ukiah,,1845; 1867,Mendocino Co.,Pico,,,,,,Ukiah,
ORESTIMBA,#105,MERCED COUNTY,MERCED COUNTY,"6
  sq. leagues",1844; 1844,Micheltorena,"T 6-7S, R 8-9E",Romo; Orestimba; Fatjo Rancho; Julian Ursua,Ursua; Garxas,9-10E; 1844; 1867,Merced Co. Grant; PANOCHE DE SAN JUAN; Stanislaus,Micheltorena,,"T 6-7S, R 8-9E",,,,Fatjo Rancho,
SANJON DE SANTA RITA,#198,MERCED COUNTY,MERCED COUNTY,11 sq. leagues,1841,Alvarado,"T 8-10S, R 11-13W",Francisco Soberanes,Fresno,1862; 1841,,Alvarado,,"T 8-10S, R 11-13W",,,,,
SAN LUIS GONZAGA,#234,MERCED COUNTY,MERCED COUNTY,11 sq. leagues,,Figueroa,"T 10S, R 6-8E, MDM","Jose Ramon Estrada; Micheltorena; Juan Perez Pacheco; Jose Maria Majia; Juan Perez
  Pacheco",Santa Clara; Merced,1871; 1834; 1843,,Figueroa,,"T 10S, R 6-8E, MDM",,,,,
EL ALISAL (Bernal),#265,MONTEREY COUNTY,MONTEREY COUNTY,,,Figueroa; Echeandia,"T 14-
   15S, R3-4E, MDM",Manuel Butron; R3-4E; Bruno Bernal,,1834; 1868; 1828,"Nicolas
   Alviso; Figueroa to Feliciano; Monterey Co. Grant",Figueroa; Echeandia,,"T 14-
   15S, R3-4E, MDM",,,,,
EL ALISAL (Hartnell),#267,MONTEREY COUNTY,MONTEREY COUNTY,,,Figueroa; Echeandia,"T 14-15S, R 4E, MDM",Manuel Butron; W. E. P. Hartnell; E. P. Hartnell; Maria Teresa de la Guerra,San Jose,1882; 1834; 1828,"Nicolas
   Alviso; Figueroa to Feliciano; Hartnell; El Colegio de
   ; El Patrocinio de San Jose; Monterey Co.",Figueroa; Echeandia,,"T 14-15S, R 4E, MDM",,,,"El Colegio de
   San Jose and as El Patrocinio de San Jose",
ARROYO SECO (Torre),#297,MONTEREY COUNTY,Monterey,"4
   sq. leagues",1840,Alvarado,"T 18-19S, R 6-7E, MDM","Joaquin de
   la Torre",,1840; 1859,"J.
   de la Torre; Monterey Co. Grant",Alvarado,,"T 18-19S, R 6-7E, MDM",16.523.35,1859,J,,
BOLSA DE LAS ESCARPINAS,#252,MONTEREY COUNTY,Monterey,2 sq. leagues,1822,de; Alvarado,T 13-14S,San Miguel; Salvador Espinosa,LA,1822; 1859; 1876; 1828; 1837,SAGRADA FAMILIA; Monterey Co.; S. Espinosa; Monterey Co. Grant,de; Alvarado,,T 13-14S,6.415.96,1876,S,"San Miguel
   or Escarpin",
BOLSA DE SAN CAYETANO,#221,MONTEREY COUNTY,Monterey,,1824,de; Arguello; Figueroa,,Dolores Pico; Ignacio Vallejo; Ignacio,,1834; 1865; 1830; 1824; 12S; 1819,R2E; Monterey Co. Grant,de; Arguello; Figueroa,,,,,,,
BOLSA NUEVA Y MORO COJO,#245,MONTEREY COUNTY,Monterey,,1836,Arguello; Alvarado; Micheltorena,"T 13S, R 2-3E
   MDM","Manuel J.,; M. A. P. Castro; Maria Antonio; Jose Antonio; Francisco; Maria Antonia Pico de
   ; Leandro; Juana; Castro; Pedro; Juan B.; Simeon Castro; Manuel; Francisco Soto; John Milligan; Bolsa Nueva",Alvarado,1873; 1837; 1844; 1829; 1825; 1836,Monterey Co.; Grant of Moro Cojo,Arguello; Alvarado; Micheltorena,,"T 13S, R 2-3E
   MDM",,,,,
BUENA VISTA (Estrada),#274,MONTEREY COUNTY,Monterey,"2
   sq. leagues",,de; Arguello,,Jose M. Soberanes; Jose Antonio Estrada; Jose Santiago Estrada; Joaquin Castro; InT,Estrada,about 1795; 1869; 1823; 1822,Monterey Co. Grant,de; Arguello,,,,,,,
CANADA DE LA CARPINTERIA,#243,MONTEREY COUNTY,MONTEREY COUNTY,,1835,Castro,T 12S,J. Soto; Joaquin Soto,,1835; 1873,Grant of 'A sq. league; Monterey Co.,Castro,,T 12S,,,,,
CANADA DE LA SEGUNDA,#283,MONTEREY COUNTY,Monterey,,1839,Alvarado,,,,1859; 1839,Lazaro; Monterey Co. Grant,Alvarado,,,4.366.80,1859,F,,
LOS CARNEROS (Littlejohn),#244,MONTEREY COUNTY,MONTEREY COUNTY,,1834,Figueroa,T 12S,Littlejohn; David; David Littlejohn,,1834; 1866,Monterey Co. Grant,Figueroa,,T 12S,,,,,
LOS CARNEROS (McDougal),#246,MONTEREY COUNTY,MONTEREY COUNTY,1 sq. league,1842,Alvarado,"T 12S, R 3E, MDM","Frederick A. McDougal; Juan Miguel Anzar; Juan
   Francisco Anzar; Maria Antonio Linares; Policronio Anzar; Anatolio Anzar",Monterey; Alvarado; San,1842; 1862,,Alvarado,,"T 12S, R 3E, MDM",,,,,
EL CHAMISAL,#536,MONTEREY COUNTY,MONTEREY COUNTY,1 sq. league,1835,Castro,T 15S,Dionisio; Manuel; Pedro Vasquez,Nicanor Lugo,1835; 1877,Felipe Vasquez; Monterey Co. Grant,Castro,,T 15S,,,,,
CHOLAME,#314,MONTEREY COUNTY,MONTEREY COUNTY,,1844,Micheltorena,"T 24-25S, R 15-16E, MDM",Mauricio Gonzales; Ellen E. White,San Luis Obispo,1865; 1844,,Micheltorena,,"T 24-25S, R 15-16E, MDM",,,,,
CHUALAR,#270,MONTEREY COUNTY,Monterey,2 sq. leagues,1839,Pro,,M. Malarin; Manuel Jimeno; Juan Malaria; Juan Malarin,,1872; 1839,"Santa Rosa de
  Chualar; Monterey Co. Grant",Pro,,,,,,"Santa Rosa de
  Chualar",
CIENEGA DEL GABI LAN (or Gavilan),#250,MONTEREY COUNTY,MONTEREY COUNTY,11 sq. leagues,,Micheltorena,"T 13-
  15S","Jesse D. Carr; Antonio Chavis; San
  Benito",,1843; 1867,,Micheltorena,,"T 13-
  15S",,,,,
LOS COCHES (Soberanes),#296,MONTEREY COUNTY,MONTEREY COUNTY,,1841,Alvarado,T 18S,Maria Josefa Soberanes,"Josefa
  Soberanes",1917; 1841,Monterey Co. Grant,Alvarado,,T 18S,,,,,
CORRAL DE TIERRA (McCobb),#29,MONTEREY COUNTY,Monterey,1 sq. league,1836,Gutierrez,T 16S,"Guadalupe Figueroa; H. D.
  McCobb",,1876; 1836,Monterey Co.,Gutierrez,,T 16S,4.434.77,1876,H,,
ENCINAL Y BUENA ESPERANZA,#269,MONTEREY COUNTY,Monterey,2 sq. leagues,1834,de; Alvarado; Figueroa,T 15S,"Crysogono; Maria Trinidad; Pedro; Jose
  Manuela; David Spence; Mateo Asuncion; Jose Trinidad
  Espinosa",Espinosa,1834; 1820; 1870; 1837; 1862; 1839,Monterey Co.,de; Alvarado; Figueroa,,T 15S,,,,,
GUADALUPE Y LLANITOS DE LOS CORREOS,#273,MONTEREY COUNTY,Monterey,,1835,Figueroa,T 16S,M. Malarin; Victoria; Juan Malarin,,1835; 1865; 1831; 1833,Llanitos de los Correos,Figueroa,,T 16S,,,,,
LAGUNA SECA,#276,MONTEREY COUNTY,MONTEREY COUNTY,,1834,Figueroa,T 15-16S,Manzaneli de Munras; C. M. de Munras,,1834; 1865,Monterey Co. Grant,Figueroa,,T 15-16S,,,,,
LLANO DE BUENA VISTA,#266,MONTEREY COUNTY,MONTEREY COUNTY,,1825,Arguello,T 15S,"Jose
  Mariano Estrada; Grant
  ; D. Spence",Estrada,1860; 1825,Monterey Co.,Arguello,,T 15S,,,,,
LOS LAURELES (Boronda),#289,MONTEREY COUNTY,MONTEREY COUNTY,,1839,Pro,T 16-17S,"Manuel
  Jimeno; J. M. and J. de M. Boronda; Vicente
  Blas Martinez; Jose Manuel Boronda",,1866; 1839,Monterey Co. Grant,Pro,,T 16-17S,,,,,
LOS LAURELES (Ransom),#285,MONTEREY COUNTY,MONTEREY COUNTY,,1844,Micheltorena,"T 16S, R 1-2E, MDM","Jose
  Agrica; L.
  Ransom",,1871; 1844,Monterey Co. Grant,Micheltorena,,"T 16S, R 1-2E, MDM",718.23,1871,L,,
MILPITAS (Pastor),#307,MONTEREY COUNTY,Monterey,"3 sq.
  leagues",1838,Alvarado,"T 21-22S, R 5-7E, MDM","Ygnacio
  Pastor",,1875; 1838,Monterey Co. Grant,Alvarado,,"T 21-22S, R 5-7E, MDM",,,,,
MISION CARMELO (Church property),#281,MONTEREY COUNTY,Monterey,,,,"T 16S, R IE, MDM","Bishop
  ; Junipero Serra; Monterey",,1770; 1859,"Monterey
  Co. Mission; J. S. Alemany",,,"T 16S, R IE, MDM",9,1859,J,,
MISION SAN ANTONIO (Church property),#308,MONTEREY COUNTY,Monterey,,,,T 22S,"J. S.
  Alemany; Junipero Serra",Monterey,1862; 1771,Bishop,,,T 22S,33.19,1862,J,,
MISION SAN MIGUEL (Church property),#315,MONTEREY COUNTY,MONTEREY COUNTY,,,Pico,T 17-18S,"Soledad Mission; Fermin
  Francisco de Lasuen; San Luis
  Obispo",Monterey; the City of Monterey,1859; 1846; 1874; 1797; 1770; 1791; 1891,J. S. Alemany; Soledad Mission Estate; Church; Bishop; EX-MISION; Monterey Co.; Monterey Co. Mission,Pico,,T 17-18S,,,,,
NACIONAL,#263,MONTEREY COUNTY,MONTEREY COUNTY,2 sq. leagues,1839,Alvarado,T 14-15S,"Vicente
  Cantua; Vicente Cantua",,1866; 1839,Monterey Co. Grant,Alvarado,"Vicente
  Cantua",T 14-15S,6.633.29,1866,"Vicente
  Cantua",,
LA NATIVIDAD,#251,MONTEREY COUNTY,MONTEREY COUNTY,"2 sq.
  leagues",,Alvarado; Echeandfa,"T 13-14S, R 3-4E, MDM",Manuel Button,Ramona,1837; 1830; 13-14S; 1874,Monterey Co. Grant,Alvarado; Echeandfa,,"T 13-14S, R 3-4E, MDM",,,,,
NOCHE BUENA,#278,MONTEREY COUNTY,MONTEREY COUNTY,"1 sq.
  league",1835,Castro,"T 15S, R IE, MDM","Huerta de la
  Nation; Don Juan Munoz; Jose Munoz",Juan Munoz,1835; 1862,Monterey Co. Grant,Castro,,"T 15S, R IE, MDM",4411.56,1862,J,"Huerta de la
  Nation",
LOS OJITOS,#311,MONTEREY COUNTY,Monterey,2 sq. leagues,1842,Alvarado,"T 23S, R 7-8E, MDM",,,1871; 1842,Monterey Co. Grant,Alvarado,,"T 23S, R 7-8E, MDM",8900.17,1871,"Mariano
  Soberanes",,
ONE SUERTE,#553,MONTEREY COUNTY,Monterey,,1844,Micheltorena,"T 14S, R 2E, MDM","Thomas
  Blanco; Thos",,1844; 1881,Monterey Co. Grant,Micheltorena,"Thomas
  Blanco","T 14S, R 2E, MDM",44.99,1881,"heirs of Thomas
  Blanco",,
PARAJE DE SANCHEZ,#292,MONTEREY COUNTY,MONTEREY COUNTY,,1839,Alvarado,T 17S,,Francisco,1866; 1839,Monterey Co. Grant,Alvarado,,T 17S,6584.32,1866,C,,
EL PESCADERO (Jacks),#280,MONTEREY COUNTY,MONTEREY COUNTY,"1
   sq. league",1836,Gutierrez,,David Jacks,,1868; 1836,Monterey Co. Grant,Gutierrez,,,,,,,
EL PIOJO,#310,MONTEREY COUNTY,MONTEREY COUNTY,3 sq. leagues,1842,Alvarado,T 23-24S,Joaquin; Joaquin Soto,,23-24S.; 1842; 1868,Monterey Co. Grant,Alvarado,,T 23-24S,,,,,
PLEYTO,#312,MONTEREY COUNTY,MONTEREY COUNTY,3 sq. leagues,,Pico,"T 23-24S, R 9-10E, MDM",W. S. Johnson; Antonio Chavez; Preston K. Woodside,,1872; 1845,Monterey Co. Grant,Pico,,"T 23-24S, R 9-10E, MDM",,,,,
POSO DE LOS OSITOS,#298,MONTEREY COUNTY,Monterey,"4
   sq. leagues",1829,Alvarado,T 19S,"Carlos
   ; Carlos Cayetano Espinosa",,1865; 1829,Monterey Co. Grant,Alvarado,,T 19S,,,,,
EL POTRERO DE SAN CARLOS,#286,MONTEREY COUNTY,Monterey,1 sq. league,1837,Alvarado,"T 16S, R IE, MDM",Maria Esteban; J. Gutierrez,,1837; 1862,Fructuoso del Real; Monterey Co.,Alvarado,,"T 16S, R IE, MDM",,,,,
PUNTA DE PINOS,#279,MONTEREY COUNTY,Monterey,"2 sq.
   leagues",,Figueroa; Micheltorena,"T 15S, R 1W, MDM","Jose M.
   ; Jose Abrego; Charles Brown; Jose M. Armenta",,1844; 1880; 1833,"H. de Graw; Point Pinos
   Rancho; Monterey Co. Grant",Figueroa; Micheltorena,,"T 15S, R 1W, MDM",,,,"Point Pinos
   Rancho",
